RUN	com.KarateGatlingDemo.TestSimulation	testsimulation	1583702145793	 	3.0.2
USER	Get the hottest day and coldest day of the week	1	START	1583702145975	1583702145975
USER	Get the hottest day and coldest day of the week	2	START	1583702147268	1583702147268
REQUEST	2		GET /v1/history.json/	1583702147370	1583702147457	OK	 
REQUEST	1		GET /v1/history.json/	1583702147370	1583702147457	OK	 
USER	Get the hottest day and coldest day of the week	2	END	1583702147268	1583702147703
USER	Get the hottest day and coldest day of the week	1	END	1583702145975	1583702147705
USER	Get the hottest day and coldest day of the week	3	START	1583702147764	1583702147764
REQUEST	3		GET /v1/history.json/	1583702147791	1583702147805	OK	 
USER	Get the hottest day and coldest day of the week	3	END	1583702147764	1583702147842
USER	Get the hottest day and coldest day of the week	5	START	1583702148474	1583702148474
REQUEST	5		GET /v1/history.json/	1583702148506	1583702148520	OK	 
USER	Get the hottest day and coldest day of the week	5	END	1583702148474	1583702148541
USER	Get the hottest day and coldest day of the week	4	START	1583702148764	1583702148764
REQUEST	4		GET /v1/history.json/	1583702148785	1583702148802	OK	 
USER	Get the hottest day and coldest day of the week	4	END	1583702148764	1583702148822
USER	Get the hottest day and coldest day of the week	6	START	1583702148974	1583702148974
REQUEST	6		GET /v1/history.json/	1583702149000	1583702149015	OK	 
USER	Get the hottest day and coldest day of the week	6	END	1583702148974	1583702149032
USER	Get the hottest day and coldest day of the week	7	START	1583702149965	1583702149965
REQUEST	7		GET /v1/history.json/	1583702149994	1583702150006	OK	 
USER	Get the hottest day and coldest day of the week	7	END	1583702149965	1583702150050
USER	Get the hottest day and coldest day of the week	8	START	1583702150477	1583702150477
REQUEST	8		GET /v1/history.json/	1583702150499	1583702150514	OK	 
USER	Get the hottest day and coldest day of the week	8	END	1583702150477	1583702150527
USER	Get the hottest day and coldest day of the week	9	START	1583702150974	1583702150974
REQUEST	9		GET /v1/history.json/	1583702150989	1583702151003	OK	 
USER	Get the hottest day and coldest day of the week	9	END	1583702150974	1583702151021
USER	Get the hottest day and coldest day of the week	10	START	1583702151978	1583702151978
USER	Get the hottest day and coldest day of the week	11	START	1583702152454	1583702152454
REQUEST	10		GET /v1/history.json/	1583702152002	1583702152489	OK	 
USER	Get the hottest day and coldest day of the week	10	END	1583702151978	1583702152505
REQUEST	11		GET /v1/history.json/	1583702152485	1583702152507	OK	 
USER	Get the hottest day and coldest day of the week	11	END	1583702152454	1583702152521
USER	Get the hottest day and coldest day of the week	12	START	1583702152954	1583702152954
REQUEST	12		GET /v1/history.json/	1583702152973	1583702153007	OK	 
USER	Get the hottest day and coldest day of the week	12	END	1583702152954	1583702153031
USER	Get the hottest day and coldest day of the week	13	START	1583702153977	1583702153977
REQUEST	13		GET /v1/history.json/	1583702154001	1583702154025	OK	 
USER	Get the hottest day and coldest day of the week	13	END	1583702153977	1583702154047
USER	Get the hottest day and coldest day of the week	14	START	1583702154466	1583702154466
REQUEST	14		GET /v1/history.json/	1583702154485	1583702154499	OK	 
USER	Get the hottest day and coldest day of the week	14	END	1583702154466	1583702154516
USER	Get the hottest day and coldest day of the week	15	START	1583702154966	1583702154966
REQUEST	15		GET /v1/history.json/	1583702154994	1583702155015	OK	 
USER	Get the hottest day and coldest day of the week	15	END	1583702154966	1583702155042
USER	Get the hottest day and coldest day of the week	16	START	1583702155978	1583702155978
REQUEST	16		GET /v1/history.json/	1583702155998	1583702156017	OK	 
USER	Get the hottest day and coldest day of the week	16	END	1583702155978	1583702156037
